384.011,63.1658,323.233,421.41,326.475,371.532,222.683,394.485,156.22,465.768,250.373,68.571,230.712,129.866,21.0053,198.258,207.899,245.456,26.4159,415.426,386.242,353.558,302.658,339.503,135.646,311.886,190.208,443.175,67.1231,189.071,197.649,421.602,130.041,188.032,293.124,451.576,476.384,136.053,165.463,479.29
444.049,222.761,41.3687,208.882,199.28,477.69,479.019,191.658,245.811,497.451,29.7937,18.3836,395.479,435.903,216.453,196.559,179.725,326.52,462.728,62.5794,122.148,489.75,282.903,117.061,229.674,170.635,73.4256,263.912,11.7187,102.274,255.802,237.896,249.397,325.397,277.142,345.284,100.018,225.112,448.576,35.7911
14.6714,496.975,374.535,338.827,97.3531,91.9293,407.283,417.29,466.083,39.9687,334.778,277.356,57.4392,32.7737,320.438,488.369,439.101,100.244,435.824,388.949,148.652,102.055,9.06332,87.318,234.824,481.976,246.563,202.023,227.85,212.523,432.441,181.588,443.022,231.016,398.671,215.479,340.76,62.8915,154.968,135.395
159.288,454.942,84.3688,122.02,307.868,44.5262,477.427,302.201,356.361,172.018,351.864,441.48,398.42,98.8295,376.97,293.475,351.426,309.1,399.286,122.237,52.4678,127.996,405.164,385.908,365.206,50.4676,256.723,165.488,287.37,372.688,492.196,288.142,93.5453,39.528,359.963,25.3237,104.421,311.492,400.135,193.232
388.796,151.936,183.99,322.673,468.897,36.5806,234.99,52.2577,116.633,142.693,469.492,139.23,368.875,40.063,456.16,60.6302,142.81,284.366,440.208,396.984,149.919,134.622,255.618,151.142,369.861,130.771,63.7034,280.396,82.519,492.258,412.852,69.1253,482.723,437.815,104.742,263.814,258.094,347.63,188.24,280.678
333.657,9.39901,73.2264,247.745,166.699,347.7,28.6349,451.35,16.127,348.973,357.255,440.021,35.2611,382.62,362.208,127.091,119.75,133.79,497.072,70.1161,294.865,3.90482,371.185,5.17806,258.45,254.895,412.831,478.939,179.145,468.519,250.848,287.566,26.7233,204.586,458.76,282.383,206.179,202.036,88.2977,32.4224
104.313,468.515,375.268,294.876,484.093,223.055,68.3474,217.99,480.58,332.555,322.988,143.188,125.516,77.1295,133.178,486.533,462.674,13.2912,134.044,84.0433,41.8734,283.807,463.838,126.917,73.8263,397.206,458.857,382.051,325.658,77.6703,118.555,411.093,253.954,17.9776,472.219,459.715,171.592,120.362,427.183,462.263
205.642,104.782,61.4637,258.852,175.445,476.542,141.144,287.185,296.302,253.637,456.63,391.508,419.092,470.044,166.605,363.394,195.062,421.753,487.285,237.69,255.542,332.031,273.757,322.133,390.664,234.492,135.631,297.015,479.93,43.1661,266.52,111.543,480.08,428.116,264.889,97.2106,454.699,127.901,433.695,169.254
274.382,421.941,221.381,330.937,315.857,433.914,107.166,191.704,111.484,293.769,371.344,436.491,200.478,25.3162,264.476,369.979,292.755,211.281,460.928,451.534,338.906,360.693,199.636,334.287,356.376,267.587,472.198,106.914,389.935,279.318,136.608,359.232,385.036,46.3685,382.122,376.353,314.25,454.301,18.7336,46.5983
95.2423,183.072,135.406,192.199,69.4529,261.31,212.983,133.723,383.34,299.571,99.6619,144.996,369.095,163.293,146.054,22.196,247.441,378.94,489.718,93.0418,264.495,64.8048,398.031,180.146,373.399,365.563,436.523,349.589,351.919,196.995,46.4891,457.478,78.0215,360.38,467.423,395.064,38.0667,412.665,99.4341,419.958
